hood,precinct,count
Tenderloin,3604,35
Tenderloin,3605,38
Tenderloin,3606,27
Tenderloin,3610,10
Tenderloin,3612,24
Tenderloin,3613,23
Tenderloin,3614,55
Tenderloin,3617,22
Tenderloin,3618,14
Tenderloin,3619,32
Tenderloin,3621,29
SOMA West,3620,26
SOMA West,3624,13
SOMA West,3625,44
SOMA West,3626,22
SOMA West,3627,82
SOMA West,3630,18
SOMA West,3635,13
SOMA West,3636,36
SOMA West,3637,40
SOMA West,3638,74
SOMA East,3628,22
SOMA East,3629,5
SOMA East,3639,21
SOMA East,3640,18
SOMA East,3641,19
SOMA East,3642,9
SOMA East,3643,17
SOMA East,3652,11
North of Market,3601,8
North of Market,3602,26
North of Market,3603,30
North of Market,3608,47
North of Market,3609,24
North of Market,3611,11
North of Market,3615,27
North of Market,3616,15
North of Market,3650,15
North of Market,3651,40
Mission North,3622,27
Mission North,3623,17
Mission North,3632,26
Mission North,3633,25
Mission North,3634,16
Mission North,3644,22
Mission North,3645,35
Mission North,3646,18
Mission North,3647,33
Mission North,3648,29
Mission North,3649,14
(50 rows)
